repetitions;time(ns)
10000;489874915
20000;927652665
30000;1363427025
40000;1800639483
50000;2244990813
60000;2684189480
70000;3118893107
80000;3554870704
90000;3980691178
100000;4404487449
110000;4836044247
120000;5266563837
130000;5693834630
140000;6121310546
150000;6546194102
160000;6970292644
170000;7391805252
180000;7814568364
190000;8237873233
200000;8661232508
210000;9086055582
220000;9512218905
230000;9946709727
240000;10369914304
250000;10795624149
260000;11223551448
270000;11646021577
280000;12070112856
290000;12490818939
300000;12914208735
310000;13342030574
320000;13773344954
330000;14202767899
340000;14627371113
350000;15060036639
360000;15492028407
370000;15924449908
380000;16357463312
390000;16791358389
400000;17230568789
410000;17652925217
420000;18078974629
430000;18507663894
440000;18951857174
450000;19375519489
460000;19805502490
470000;20228235081
480000;20652455217
490000;21079158761
500000;21505653830
510000;21933167041
520000;22363895315
530000;22790899595
540000;23216311289
550000;23642461552
560000;24068717345
570000;24493687923
580000;24924270998
590000;25348898517
600000;25770708158
610000;26194722333
620000;26621882568
630000;27057654693
640000;27487240717
650000;27909871969
660000;28336933658
670000;28759240358
680000;29184199273
690000;29606157327
700000;30038565418
710000;30459531939
720000;30880868407
730000;31308126350
740000;31730141115
750000;32153769837
760000;32575835236
770000;32997280936
780000;33419746875
790000;33842995591
800000;34266900185
810000;34693405101
820000;35117856202
830000;35539592440
840000;35961897186
850000;36385807227
860000;36807590190
870000;37232068877
880000;37655087677
890000;38079739780
900000;38502640898
910000;38927061477
920000;39352595254
930000;39780976100
940000;40205165716
950000;40626351956
960000;41048275229
970000;41472346115
980000;41895652730
990000;42321420404
1000000;42744495286
1010000;43168481664
1020000;43593668819
1030000;44026648909
1040000;44466244622
1050000;44895389739
1060000;45317241914
1070000;45740518707
1080000;46162847268
1090000;46584262867
1100000;47006058889
1110000;47429659046
1120000;47850631503
1130000;48275886614
1140000;48697862268
1150000;49121786347
1160000;49544183562
1170000;49972875621
1180000;50395976554
1190000;50817562844
1200000;51241015636
1210000;51663672799
1220000;52085400657
1230000;52508405349
1240000;52931950750
1250000;53354399019
1260000;53778015798
1270000;54203416597
1280000;54626364997
1290000;55054394753
1300000;55478232858
1310000;55902078716
1320000;56327296461
1330000;56750808243
1340000;57175245068
1350000;57599103051
1360000;58023828809
1370000;58448019794
1380000;58871817504
1390000;59296400088
1400000;59725915545
1410000;60151238583
1420000;60574884808
1430000;60997962806
1440000;61420888132
1450000;61842620852
1460000;62265090954
1470000;62689978394
1480000;63112546273
1490000;63536810172
1500000;63961932208
1510000;64385517531
1520000;64815011896
1530000;65242551201
1540000;65666137921
1550000;66091773359
1560000;66516547866
1570000;66945920149
1580000;67368862655
1590000;67791796711
1600000;68216440056
1610000;68638632121
1620000;69065161175
1630000;69487645524
1640000;69918175352
1650000;70340116059
1660000;70761568437
1670000;71183922812
1680000;71605477646
1690000;72028552013
1700000;72450052581
1710000;72872198900
1720000;73293806394
1730000;73725076049
1740000;74147925807
1750000;74571691110
1760000;74998442608
1770000;75422027443
1780000;75845689801
1790000;76271688342
1800000;76694245815
1810000;77117890363
1820000;77541807921
1830000;77966299572
1840000;78391329767
1850000;78823039629
1860000;79247562569
1870000;79680796084
1880000;80104395026
1890000;80533037750
1900000;80959295052
1910000;81381902182
1920000;81802198411
1930000;82223625436
1940000;82645670555
1950000;83066978432
1960000;83490003211
1970000;83911692769
1980000;84338677955
1990000;84764700801
